nohup: ignoring input

   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2025-09-26 04:17:22 ................................................... ~ 0s
  2025-09-26 04:17:22 ................................................... ~ 0s
  2025-09-26 04:17:22 ................................................... ~ 0s
  2025-09-26 04:17:22 ................................................... ~ 0s
  2025-09-26 04:17:22 ................................................... ~ 0s
  2025-09-26 04:17:22 ................................................... ~ 0s
  2025-09-26 04:17:22 ................................................... ~ 0s
  2025-09-26 04:17:22 ................................................... ~ 0s
  2025-09-26 04:17:23 ................................................... ~ 0s
  2025-09-26 04:17:23 ................................................... ~ 0s
  2025-09-26 04:17:23 ................................................... ~ 0s
  2025-09-26 04:17:23 ................................................... ~ 0s
  2025-09-26 04:17:23 ................................................... ~ 0s
  2025-09-26 04:17:23 ................................................... ~ 0s
  2025-09-26 04:27:26 ................................................... ~ 0s
  2025-09-26 04:27:26 ................................................... ~ 0s
  2025-09-26 04:27:26 ................................................... ~ 0s
  2025-09-26 04:27:26 ................................................... ~ 0s
  2025-09-26 04:27:26 ................................................... ~ 0s
  2025-09-26 04:27:26 ................................................... ~ 0s
  2025-09-26 04:27:26 ................................................... ~ 1s
  2025-09-26 04:27:27 ................................................... ~ 0s
  2025-09-26 04:27:27 ................................................... ~ 0s
  2025-09-26 04:27:27 ................................................... ~ 0s
  2025-09-26 04:27:27 ................................................... ~ 0s
  2025-09-26 04:27:27 ................................................... ~ 0s
  2025-09-26 04:27:28 ................................................... ~ 0s
  2025-09-26 04:27:28 ................................................... ~ 0s
  2025-09-26 04:29:13 ................................................... ~ 0s
  2025-09-26 04:29:13 ................................................... ~ 0s
  2025-09-26 04:29:13 ................................................... ~ 0s
  2025-09-26 04:29:13 ................................................... ~ 0s
  2025-09-26 04:29:13 ................................................... ~ 0s
  2025-09-26 04:29:13 ................................................... ~ 0s
  2025-09-26 04:29:13 ................................................... ~ 0s
  2025-09-26 04:29:13 ................................................... ~ 0s
  2025-09-26 04:29:14 ................................................... ~ 0s
  2025-09-26 04:29:14 ................................................... ~ 0s
  2025-09-26 04:29:14 ................................................... ~ 0s
  2025-09-26 04:29:14 ................................................... ~ 0s
  2025-09-26 04:29:14 ................................................... ~ 0s
  2025-09-26 04:29:14 ................................................... ~ 0s
  2025-09-26 04:30:26 ................................................... ~ 0s
  2025-09-26 04:30:26 ................................................... ~ 0s
  2025-09-26 04:30:26 ................................................... ~ 0s
  2025-09-26 04:30:26 ................................................... ~ 0s
  2025-09-26 04:30:26 /storage/campaigns/logos/1758827599_68d5944fdfe77.png  ~ 0s
  2025-09-26 04:30:26 /storage/campaigns/logos/1758826966_68d591d64dcb3.png  ~ 0s
  2025-09-26 04:30:26 /storage/campaigns/logos/1758826452_68d58fd42988c.png  ~ 0s
  2025-09-26 04:30:26 ................................................... ~ 0s
  2025-09-26 04:30:26 ................................................... ~ 0s
  2025-09-26 04:30:27 ................................................... ~ 0s
  2025-09-26 04:30:27 ................................................... ~ 0s
  2025-09-26 04:31:23 ................................................... ~ 0s
  2025-09-26 04:31:23 ................................................... ~ 0s
  2025-09-26 04:31:23 ................................................... ~ 1s
  2025-09-26 04:31:24 ................................................... ~ 0s
  2025-09-26 04:31:24 ................................................... ~ 0s
  2025-09-26 04:31:24 ................................................... ~ 0s
  2025-09-26 04:31:25 ................................................... ~ 0s
  2025-09-26 04:31:25 ................................................... ~ 0s
  2025-09-26 04:32:15 ................................................... ~ 0s
  2025-09-26 04:32:15 ................................................... ~ 0s
  2025-09-26 04:32:15 ................................................... ~ 0s
  2025-09-26 04:32:15 ................................................... ~ 0s
  2025-09-26 04:32:15 ................................................... ~ 1s
  2025-09-26 04:32:16 ................................................... ~ 0s
  2025-09-26 04:32:16 ................................................... ~ 0s
  2025-09-26 04:32:16 ................................................... ~ 0s
  2025-09-26 04:41:33 ................................................... ~ 0s
  2025-09-26 04:41:33 ................................................... ~ 0s
  2025-09-26 04:41:33 ................................................... ~ 0s
  2025-09-26 04:41:33 ................................................... ~ 0s
  2025-09-26 04:41:33 ................................................... ~ 0s
  2025-09-26 04:41:33 ................................................... ~ 0s
  2025-09-26 04:41:33 ................................................... ~ 0s
  2025-09-26 04:41:33 ................................................... ~ 1s
  2025-09-26 04:41:34 ................................................... ~ 0s
  2025-09-26 04:41:34 ................................................... ~ 0s
  2025-09-26 04:41:34 ................................................... ~ 0s
  2025-09-26 04:41:34 /storage/campaigns/logos/1758827599_68d5944fdfe77.png  ~ 0s
  2025-09-26 04:41:34 ................................................... ~ 0s
  2025-09-26 04:41:34 /storage/campaigns/logos/1758826966_68d591d64dcb3.png  ~ 0s
  2025-09-26 04:41:34 ................................................... ~ 0s
  2025-09-26 04:41:34 /storage/campaigns/logos/1758826452_68d58fd42988c.png  ~ 0s
  2025-09-26 04:41:34 ................................................... ~ 0s
  2025-09-26 04:41:34 ................................................... ~ 0s
  2025-09-26 04:41:34 ................................................... ~ 1s
  2025-09-26 04:41:35 ................................................... ~ 0s
  2025-09-26 04:41:35 ................................................... ~ 1s
  2025-09-26 04:41:43 ................................................... ~ 1s
  2025-09-26 04:41:44 ................................................... ~ 0s
  2025-09-26 04:41:44 ................................................... ~ 0s
  2025-09-26 04:41:44 ................................................... ~ 0s
  2025-09-26 04:41:44 ................................................... ~ 0s
  2025-09-26 04:41:44 ................................................... ~ 0s
  2025-09-26 04:41:45 ................................................... ~ 0s
  2025-09-26 04:41:45 ................................................... ~ 0s
  2025-09-26 04:41:48 ................................................... ~ 0s
  2025-09-26 04:41:48 ................................................... ~ 0s
  2025-09-26 04:41:48 ................................................... ~ 0s
  2025-09-26 04:41:48 ................................................... ~ 0s
  2025-09-26 04:41:48 ................................................... ~ 0s
  2025-09-26 04:41:48 ................................................... ~ 1s
  2025-09-26 04:41:49 ................................................... ~ 0s
  2025-09-26 04:41:49 ................................................... ~ 1s
  2025-09-26 04:41:51 ................................................... ~ 0s
  2025-09-26 04:41:51 ................................................... ~ 0s
  2025-09-26 04:42:10 ................................................... ~ 0s
  2025-09-26 04:42:10 ................................................... ~ 0s
  2025-09-26 04:42:10 ................................................... ~ 0s
  2025-09-26 04:42:10 ................................................... ~ 0s
  2025-09-26 04:42:10 ................................................... ~ 0s
  2025-09-26 04:42:10 ................................................... ~ 1s
  2025-09-26 04:42:11 ................................................... ~ 0s
  2025-09-26 04:42:11 ................................................... ~ 0s
  2025-09-26 04:42:11 ................................................... ~ 0s
  2025-09-26 04:42:11 ................................................... ~ 0s
  2025-09-26 04:42:11 ................................................... ~ 1s
  2025-09-26 04:42:12 ................................................... ~ 0s
  2025-09-26 04:42:13 ................................................... ~ 0s
  2025-09-26 04:42:13 ................................................... ~ 0s
  2025-09-26 04:42:13 ................................................... ~ 0s
  2025-09-26 04:42:13 ................................................... ~ 0s
  2025-09-26 04:42:13 ................................................... ~ 0s
  2025-09-26 04:42:13 ................................................... ~ 0s
  2025-09-26 04:42:13 ................................................... ~ 0s
  2025-09-26 04:42:13 ................................................... ~ 0s
  2025-09-26 04:42:34 ................................................... ~ 0s

   WARN  Content-Type: multipart/form-data; boundary=----WebKitFormBoundary8hSUj7IhMSBYVXhp.  

   WARN  Request method: PUT.  

   WARN  Request role: .  

   WARN  Request state: .  

   WARN  Request all data: [].  

   WARN  Request files: [].  

   WARN  Raw content length: 2024553.  

   WARN  Is multipart: true.  

   WARN  Attempting manual multipart parsing.  

   WARN  Manually parsed data: {"name":"David Kall","email":"davidkall812@gmail.com","state":"Amazonas","role":"student","gender":"other","birth_date":"1991-09-09","creator_type":"ugc","niche":"N\u00e3o informado","industry":"N\u00e3o informado","languages":"[\"Japon\u00eas\"]","avatar":{}}.  

   WARN  Avatar file found via manual parsing.  

  2025-09-26 04:42:34 ................................................... ~ 0s
  2025-09-26 04:42:42 ................................................... ~ 0s
  2025-09-26 04:42:42 /storage/campaigns/logos/1758827599_68d5944fdfe77.png  ~ 0s
  2025-09-26 04:42:42 ................................................... ~ 0s
  2025-09-26 04:42:42 /storage/campaigns/logos/1758826966_68d591d64dcb3.png  ~ 0s
  2025-09-26 04:42:42 /storage/campaigns/logos/1758826452_68d58fd42988c.png  ~ 0s
  2025-09-26 04:42:42 ................................................... ~ 0s
  2025-09-26 04:42:42 ................................................... ~ 0s
  2025-09-26 04:42:43 ................................................... ~ 0s
  2025-09-26 04:42:43 ................................................... ~ 0s
  2025-09-26 04:42:44 ................................................... ~ 0s
  2025-09-26 04:42:44 ................................................... ~ 0s
  2025-09-26 04:42:47 ................................................... ~ 0s
  2025-09-26 04:42:47 ................................................... ~ 0s
  2025-09-26 04:42:47 ................................................... ~ 0s
  2025-09-26 04:42:47 ................................................... ~ 0s
  2025-09-26 04:42:47 ................................................... ~ 0s
  2025-09-26 04:42:47 ................................................... ~ 0s
  2025-09-26 04:42:47 ................................................... ~ 0s
  2025-09-26 04:42:47 ................................................... ~ 0s
  2025-09-26 04:42:48 ................................................... ~ 0s
  2025-09-26 04:42:48 ................................................... ~ 0s
  2025-09-26 04:42:48 ................................................... ~ 0s
  2025-09-26 04:42:48 /storage/campaigns/logos/1758827599_68d5944fdfe77.png  ~ 0s
  2025-09-26 04:42:48 ................................................... ~ 0s
  2025-09-26 04:42:48 /storage/campaigns/logos/1758826966_68d591d64dcb3.png  ~ 0s
  2025-09-26 04:42:48 ................................................... ~ 0s
  2025-09-26 04:42:48 /storage/campaigns/logos/1758826452_68d58fd42988c.png  ~ 0s
  2025-09-26 04:42:48 ................................................... ~ 0s
  2025-09-26 04:42:48 ................................................... ~ 0s
  2025-09-26 04:42:48 ................................................... ~ 0s
  2025-09-26 04:42:49 ................................................... ~ 0s
  2025-09-26 04:42:49 ................................................... ~ 0s
  2025-09-26 04:42:54 ................................................... ~ 0s
  2025-09-26 04:42:54 ................................................... ~ 0s
  2025-09-26 04:42:54 /storage/campaigns/logos/1758826966_68d591d64dcb3.png  ~ 0s
  2025-09-26 04:42:54 /storage/campaigns/logos/1758826452_68d58fd42988c.png  ~ 0s
  2025-09-26 04:42:54 ................................................... ~ 0s
  2025-09-26 04:42:54 ................................................... ~ 0s
  2025-09-26 04:42:54 ................................................... ~ 0s
  2025-09-26 04:42:54 ................................................... ~ 0s
  2025-09-26 04:42:55 ................................................... ~ 0s
  2025-09-26 04:42:55 ................................................... ~ 0s
  2025-09-26 04:46:26 ................................................... ~ 0s
  2025-09-26 04:46:26 ................................................... ~ 0s
  2025-09-26 04:46:29 ................................................... ~ 0s
  2025-09-26 04:46:29 ................................................... ~ 0s
  2025-09-26 04:46:29 /storage/campaigns/logos/1758826966_68d591d64dcb3.png  ~ 0s
  2025-09-26 04:46:29 /storage/campaigns/logos/1758826452_68d58fd42988c.png  ~ 0s
  2025-09-26 04:46:29 ................................................... ~ 0s
  2025-09-26 04:46:29 ................................................... ~ 0s
  2025-09-26 04:46:29 ................................................... ~ 0s
  2025-09-26 04:46:29 ................................................... ~ 0s
  2025-09-26 04:46:30 ................................................... ~ 0s
  2025-09-26 04:46:30 ................................................... ~ 0s
  2025-09-26 04:46:31 ................................................... ~ 0s
  2025-09-26 04:46:31 /storage/campaigns/logos/1758826966_68d591d64dcb3.png  ~ 0s
  2025-09-26 04:46:31 /storage/campaigns/logos/1758826452_68d58fd42988c.png  ~ 0s
  2025-09-26 04:46:31 ................................................... ~ 0s
  2025-09-26 04:46:31 /storage/campaigns/logos/1758827599_68d5944fdfe77.png  ~ 0s
  2025-09-26 04:46:32 ................................................... ~ 0s
  2025-09-26 04:46:32 ................................................... ~ 0s
  2025-09-26 04:46:32 ................................................... ~ 0s
  2025-09-26 04:46:32 ................................................... ~ 0s
  2025-09-26 04:46:33 ................................................... ~ 0s
  2025-09-26 04:46:33 ................................................... ~ 3s
  2025-09-26 04:46:37 ................................................... ~ 0s
  2025-09-26 04:46:37 ................................................... ~ 0s
  2025-09-26 04:46:37 ................................................... ~ 0s
  2025-09-26 04:46:37 ................................................... ~ 0s
  2025-09-26 04:46:37 ................................................... ~ 0s
  2025-09-26 04:46:37 ................................................... ~ 0s
  2025-09-26 04:46:37 ................................................... ~ 0s
  2025-09-26 04:46:37 ................................................... ~ 0s
  2025-09-26 04:46:37 ................................................... ~ 1s
  2025-09-26 04:46:37 ................................................... ~ 1s
  2025-09-26 04:46:38 ................................................... ~ 0s
  2025-09-26 04:46:38 ................................................... ~ 0s
  2025-09-26 04:46:38 ................................................... ~ 0s
  2025-09-26 04:46:38 ................................................... ~ 0s
  2025-09-26 04:46:38 ................................................... ~ 0s
  2025-09-26 04:46:38 ................................................... ~ 0s
  2025-09-26 04:46:38 ................................................... ~ 0s
  2025-09-26 04:46:38 ................................................... ~ 0s
  2025-09-26 04:46:42 ................................................... ~ 0s
  2025-09-26 04:46:42 ................................................... ~ 0s
  2025-09-26 04:46:49 ................................................... ~ 0s
  2025-09-26 04:46:49 ................................................... ~ 0s
  2025-09-26 04:46:50 ................................................... ~ 0s
  2025-09-26 04:46:50 ................................................... ~ 0s
  2025-09-26 04:46:53 /storage/campaigns/logos/1758827599_68d5944fdfe77.png  ~ 0s
  2025-09-26 04:46:55 ................................................... ~ 0s
  2025-09-26 04:46:55 ................................................... ~ 0s
  2025-09-26 04:46:55 /storage/campaigns/logos/1758826966_68d591d64dcb3.png  ~ 0s
  2025-09-26 04:46:55 /storage/campaigns/logos/1758826452_68d58fd42988c.png  ~ 0s
  2025-09-26 04:46:55 ................................................... ~ 0s
  2025-09-26 04:46:55 ................................................... ~ 0s
  2025-09-26 04:46:55 /storage/campaigns/logos/1758827599_68d5944fdfe77.png  ~ 0s
  2025-09-26 04:46:55 /storage/campaigns/logos/1758826966_68d591d64dcb3.png  ~ 0s
  2025-09-26 04:46:55 /storage/campaigns/logos/1758826452_68d58fd42988c.png  ~ 0s
  2025-09-26 04:46:55 ................................................... ~ 0s
  2025-09-26 04:46:55 ................................................... ~ 0s
  2025-09-26 04:46:56 ................................................... ~ 0s
  2025-09-26 04:46:56 ................................................... ~ 0s
  2025-09-26 04:46:59 ................................................... ~ 0s
  2025-09-26 04:46:59 ................................................... ~ 0s
  2025-09-26 04:46:59 ................................................... ~ 0s
  2025-09-26 04:46:59 ................................................... ~ 0s
  2025-09-26 04:46:59 ................................................... ~ 0s
  2025-09-26 04:46:59 ................................................... ~ 0s
  2025-09-26 04:47:00 ................................................... ~ 0s
  2025-09-26 04:47:00 ................................................... ~ 0s
  2025-09-26 04:47:03 ................................................... ~ 0s
  2025-09-26 04:47:03 ................................................... ~ 0s
  2025-09-26 04:47:03 ................................................... ~ 1s
  2025-09-26 04:47:04 ................................................... ~ 0s
  2025-09-26 04:47:04 ................................................... ~ 0s
  2025-09-26 04:47:04 ................................................... ~ 0s
  2025-09-26 04:47:05 ................................................... ~ 0s
  2025-09-26 04:47:05 ................................................... ~ 0s
  2025-09-26 04:47:09 ................................................... ~ 1s
  2025-09-26 04:47:10 ................................................... ~ 0s
  2025-09-26 04:47:10 ................................................... ~ 0s
  2025-09-26 04:47:10 ................................................... ~ 0s
  2025-09-26 04:47:10 ................................................... ~ 0s
  2025-09-26 04:47:10 ................................................... ~ 0s
  2025-09-26 04:47:11 ................................................... ~ 0s
  2025-09-26 04:47:11 ................................................... ~ 0s
  2025-09-26 04:47:11 ................................................... ~ 0s
  2025-09-26 04:47:11 ................................................... ~ 0s
  2025-09-26 04:47:15 ................................................... ~ 0s
  2025-09-26 04:47:15 ................................................... ~ 0s
  2025-09-26 04:47:56 ................................................... ~ 0s
  2025-09-26 04:47:56 /storage/campaigns/logos/1758827599_68d5944fdfe77.png  ~ 0s
  2025-09-26 04:47:56 /storage/campaigns/logos/1758826966_68d591d64dcb3.png  ~ 0s
  2025-09-26 04:47:56 /storage/campaigns/logos/1758826452_68d58fd42988c.png  ~ 0s
  2025-09-26 04:47:56 ................................................... ~ 0s
  2025-09-26 04:48:13 ................................................... ~ 0s
  2025-09-26 04:48:16 ................................................... ~ 2s
  2025-09-26 04:48:19 ................................................... ~ 0s
  2025-09-26 04:48:19 ................................................... ~ 0s
  2025-09-26 04:48:20 ................................................... ~ 0s
  2025-09-26 04:48:20 ................................................... ~ 0s
  2025-09-26 04:48:20 ................................................... ~ 0s
  2025-09-26 04:48:20 ................................................... ~ 0s
  2025-09-26 04:48:20 ................................................... ~ 0s
  2025-09-26 04:48:20 ................................................... ~ 0s
  2025-09-26 04:48:20 ................................................... ~ 0s
  2025-09-26 04:48:20 ................................................... ~ 0s
  2025-09-26 04:48:22 ................................................... ~ 0s
  2025-09-26 04:48:22 ................................................... ~ 0s
  2025-09-26 04:48:22 ................................................... ~ 0s
  2025-09-26 04:48:22 ................................................... ~ 0s
  2025-09-26 04:48:23 ................................................... ~ 0s
  2025-09-26 04:48:23 ................................................... ~ 0s
  2025-09-26 04:48:42 ................................................... ~ 0s
  2025-09-26 04:48:42 ................................................... ~ 1s
  2025-09-26 04:57:46 ................................................... ~ 0s
  2025-09-26 04:57:46 ................................................... ~ 1s
  2025-09-26 04:57:47 ................................................... ~ 0s
  2025-09-26 04:57:47 ................................................... ~ 0s
  2025-09-26 04:57:47 ................................................... ~ 0s
  2025-09-26 04:57:47 ................................................... ~ 0s
  2025-09-26 04:57:47 ................................................... ~ 0s
  2025-09-26 04:57:47 ................................................... ~ 0s
  2025-09-26 04:57:47 ................................................... ~ 0s
  2025-09-26 04:57:47 ................................................... ~ 0s
  2025-09-26 04:57:47 ................................................... ~ 0s
  2025-09-26 04:57:47 ................................................... ~ 0s
  2025-09-26 04:57:48 ................................................... ~ 0s
  2025-09-26 04:57:48 ................................................... ~ 0s
  2025-09-26 04:57:49 ................................................... ~ 0s
  2025-09-26 04:57:49 ................................................... ~ 0s
  2025-09-26 04:57:49 ................................................... ~ 0s
  2025-09-26 04:57:49 ................................................... ~ 0s
  2025-09-26 04:57:49 ................................................... ~ 0s
  2025-09-26 04:57:49 ................................................... ~ 0s
  2025-09-26 04:57:49 ................................................... ~ 0s
  2025-09-26 04:57:49 ................................................... ~ 0s
  2025-09-26 04:57:49 ................................................... ~ 0s
  2025-09-26 04:57:49 ................................................... ~ 0s
  2025-09-26 04:57:49 ................................................... ~ 0s
  2025-09-26 04:57:49 ................................................... ~ 0s
  2025-09-26 04:57:49 ................................................... ~ 0s
  2025-09-26 04:57:49 ................................................... ~ 0s
  2025-09-26 04:57:49 ................................................... ~ 1s
  2025-09-26 04:57:49 ................................................... ~ 1s
  2025-09-26 04:57:50 ................................................... ~ 0s
  2025-09-26 04:57:50 ................................................... ~ 0s
  2025-09-26 04:57:50 ................................................... ~ 0s
  2025-09-26 04:57:50 ................................................... ~ 0s
  2025-09-26 04:57:50 ................................................... ~ 0s
  2025-09-26 04:57:50 ................................................... ~ 0s
  2025-09-26 04:57:50 ................................................... ~ 0s
  2025-09-26 04:57:50 ................................................... ~ 0s
  2025-09-26 04:57:50 ................................................... ~ 0s
  2025-09-26 04:57:50 ................................................... ~ 0s
  2025-09-26 04:57:50 ................................................... ~ 0s
  2025-09-26 04:57:50 ................................................... ~ 0s
  2025-09-26 04:57:50 ................................................... ~ 0s
  2025-09-26 04:57:50 ................................................... ~ 0s
  2025-09-26 04:57:50 ................................................... ~ 0s
  2025-09-26 04:57:50 ................................................... ~ 0s
  2025-09-26 04:57:50 ................................................... ~ 1s
  2025-09-26 04:57:51 ................................................... ~ 0s
  2025-09-26 04:57:58 ................................................... ~ 0s
  2025-09-26 04:57:58 ................................................... ~ 0s
  2025-09-26 04:57:58 ................................................... ~ 0s
  2025-09-26 04:57:58 ................................................... ~ 0s
  2025-09-26 04:57:59 ................................................... ~ 1s
  2025-09-26 04:58:00 ................................................... ~ 0s
  2025-09-26 04:58:00 ................................................... ~ 0s
  2025-09-26 04:58:00 ................................................... ~ 0s
  2025-09-26 04:58:00 ................................................... ~ 0s
  2025-09-26 04:58:00 ................................................... ~ 0s
  2025-09-26 04:58:00 ................................................... ~ 0s
  2025-09-26 04:58:00 ................................................... ~ 0s
  2025-09-26 04:58:00 ................................................... ~ 0s
  2025-09-26 04:58:00 ................................................... ~ 0s
  2025-09-26 04:58:00 ................................................... ~ 0s
  2025-09-26 04:58:00 ................................................... ~ 0s
  2025-09-26 04:58:00 ................................................... ~ 0s
  2025-09-26 04:58:00 ................................................... ~ 0s
  2025-09-26 04:58:00 ................................................... ~ 0s
  2025-09-26 04:58:00 ................................................... ~ 0s
  2025-09-26 04:58:00 ................................................... ~ 0s
  2025-09-26 04:58:00 ................................................... ~ 1s
  2025-09-26 04:58:07 ................................................... ~ 0s
  2025-09-26 04:58:07 ................................................... ~ 0s
  2025-09-26 04:58:07 ................................................... ~ 0s
  2025-09-26 04:58:07 ................................................... ~ 0s
  2025-09-26 04:58:07 ................................................... ~ 0s
  2025-09-26 04:58:07 ................................................... ~ 0s
  2025-09-26 04:58:07 ................................................... ~ 0s
  2025-09-26 04:58:07 ................................................... ~ 0s
  2025-09-26 05:08:07 ................................................... ~ 0s
  2025-09-26 05:08:07 ................................................... ~ 0s
  2025-09-26 05:08:08 ................................................... ~ 0s
  2025-09-26 05:08:08 ................................................... ~ 0s
  2025-09-26 05:08:08 ................................................... ~ 1s
  2025-09-26 05:08:09 /storage/campaigns/logos/1758827599_68d5944fdfe77.png  ~ 0s
  2025-09-26 05:08:09 ................................................... ~ 0s
  2025-09-26 05:08:09 /storage/campaigns/logos/1758826966_68d591d64dcb3.png  ~ 0s
  2025-09-26 05:08:09 ................................................... ~ 0s
